humanRL_gym_ple/dqn_ple.py:126: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  torch.nn.init.xavier_uniform(m.weight)
Collecting experience...
humanRL_gym_ple/dqn_ple.py:154: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at  ../torch/csrc/utils/tensor_new.cpp:201.)
  wrap_tensor = lambda x: torch.tensor([x])
Ep:  85 | Ep_r:  0.0 | Steps:  68 | Total Steps:  4615 | Ep_Loss: 9.9753
Ep:  86 | Ep_r:  0.0 | Steps:  45 | Total Steps:  4661 | Ep_Loss: 6.6589
Ep:  87 | Ep_r:  0.0 | Steps:  5 | Total Steps:  4667 | Ep_Loss: 0.8110
Ep:  88 | Ep_r:  0.0 | Steps:  22 | Total Steps:  4690 | Ep_Loss: 3.4211
Ep:  89 | Ep_r:  0.0 | Steps:  5 | Total Steps:  4696 | Ep_Loss: 0.9296
Ep:  90 | Ep_r:  0.0 | Steps:  43 | Total Steps:  4740 | Ep_Loss: 6.3916
Ep:  91 | Ep_r:  0.0 | Steps:  5 | Total Steps:  4746 | Ep_Loss: 0.9243
Ep:  92 | Ep_r:  0.0 | Steps:  28 | Total Steps:  4775 | Ep_Loss: 3.9810
Ep:  93 | Ep_r:  0.0 | Steps:  73 | Total Steps:  4849 | Ep_Loss: 10.9701
Ep:  94 | Ep_r:  0.0 | Steps:  22 | Total Steps:  4872 | Ep_Loss: 3.2256
Ep:  95 | Ep_r:  0.0 | Steps:  22 | Total Steps:  4895 | Ep_Loss: 3.3547
Ep:  96 | Ep_r:  0.0 | Steps:  27 | Total Steps:  4923 | Ep_Loss: 4.7839
Ep:  97 | Ep_r:  0.0 | Steps:  144 | Total Steps:  5068 | Ep_Loss: 19.7817
Ep:  98 | Ep_r:  0.0 | Steps:  135 | Total Steps:  5204 | Ep_Loss: 19.5909
Ep:  99 | Ep_r:  0.0 | Steps:  29 | Total Steps:  5234 | Ep_Loss: 4.4406
Ep:  100 | Ep_r:  0.0 | Steps:  5 | Total Steps:  5240 | Ep_Loss: 0.8855
Ep:  101 | Ep_r:  0.0 | Steps:  49 | Total Steps:  5290 | Ep_Loss: 7.9317
Ep:  102 | Ep_r:  0.0 | Steps:  153 | Total Steps:  5444 | Ep_Loss: 22.8336
Ep:  103 | Ep_r:  0.0 | Steps:  119 | Total Steps:  5564 | Ep_Loss: 16.7741
Ep:  104 | Ep_r:  0.0 | Steps:  24 | Total Steps:  5589 | Ep_Loss: 3.5007
Ep:  105 | Ep_r:  0.0 | Steps:  28 | Total Steps:  5618 | Ep_Loss: 5.1271
Ep:  106 | Ep_r:  0.0 | Steps:  82 | Total Steps:  5701 | Ep_Loss: 11.7485
Ep:  107 | Ep_r:  1.0 | Steps:  70 | Total Steps:  5772 | Ep_Loss: 11.4149
Ep:  108 | Ep_r:  0.0 | Steps:  35 | Total Steps:  5808 | Ep_Loss: 4.9068
Ep:  109 | Ep_r:  0.0 | Steps:  48 | Total Steps:  5857 | Ep_Loss: 6.6633
Ep:  110 | Ep_r:  0.0 | Steps:  59 | Total Steps:  5917 | Ep_Loss: 8.4222
Ep:  111 | Ep_r:  0.0 | Steps:  5 | Total Steps:  5923 | Ep_Loss: 0.8414
