humanRL_gym_ple/dqn_ple.py:131: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  torch.nn.init.xavier_uniform(m.weight)
Collecting experience...
humanRL_gym_ple/dqn_ple.py:184: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at  ../torch/csrc/utils/tensor_new.cpp:201.)
  wrap_tensor = lambda x: torch.tensor([x])
Ep:  108 | Ep_r:  0.0 | Steps:  5 | Total Steps:  3972 | Ep_Loss: 0.2166
Ep:  109 | Ep_r:  0.0 | Steps:  24 | Total Steps:  3997 | Ep_Loss: 1.1168
Ep:  110 | Ep_r:  0.0 | Steps:  24 | Total Steps:  4022 | Ep_Loss: 1.1149
Ep:  111 | Ep_r:  0.0 | Steps:  42 | Total Steps:  4065 | Ep_Loss: 1.7228
Ep:  112 | Ep_r:  0.0 | Steps:  43 | Total Steps:  4109 | Ep_Loss: 1.8981
Ep:  113 | Ep_r:  0.0 | Steps:  23 | Total Steps:  4133 | Ep_Loss: 1.1450
Ep:  114 | Ep_r:  0.0 | Steps:  44 | Total Steps:  4178 | Ep_Loss: 1.9634
Ep:  115 | Ep_r:  0.0 | Steps:  39 | Total Steps:  4218 | Ep_Loss: 1.7564
Ep:  116 | Ep_r:  0.0 | Steps:  22 | Total Steps:  4241 | Ep_Loss: 0.9100
Ep:  117 | Ep_r:  0.0 | Steps:  23 | Total Steps:  4265 | Ep_Loss: 1.0881
Ep:  118 | Ep_r:  0.0 | Steps:  68 | Total Steps:  4334 | Ep_Loss: 2.9324
Ep:  119 | Ep_r:  0.0 | Steps:  45 | Total Steps:  4380 | Ep_Loss: 1.9846
Ep:  120 | Ep_r:  0.0 | Steps:  23 | Total Steps:  4404 | Ep_Loss: 1.1058
Ep:  121 | Ep_r:  0.0 | Steps:  22 | Total Steps:  4427 | Ep_Loss: 1.0473
Ep:  122 | Ep_r:  0.0 | Steps:  29 | Total Steps:  4457 | Ep_Loss: 1.2057
Ep:  123 | Ep_r:  0.0 | Steps:  5 | Total Steps:  4463 | Ep_Loss: 0.2760
Ep:  124 | Ep_r:  1.0 | Steps:  23 | Total Steps:  4487 | Ep_Loss: 1.0089
Ep:  125 | Ep_r:  0.0 | Steps:  5 | Total Steps:  4493 | Ep_Loss: 0.2863
Ep:  126 | Ep_r:  0.0 | Steps:  5 | Total Steps:  4499 | Ep_Loss: 0.2503
Ep:  127 | Ep_r:  0.0 | Steps:  5 | Total Steps:  4505 | Ep_Loss: 0.2776
Ep:  128 | Ep_r:  0.0 | Steps:  25 | Total Steps:  4531 | Ep_Loss: 1.1084
Ep:  129 | Ep_r:  0.0 | Steps:  40 | Total Steps:  4572 | Ep_Loss: 1.9075
Ep:  130 | Ep_r:  0.0 | Steps:  23 | Total Steps:  4596 | Ep_Loss: 1.0715
Ep:  131 | Ep_r:  0.0 | Steps:  82 | Total Steps:  4679 | Ep_Loss: 3.8073
Ep:  132 | Ep_r:  0.0 | Steps:  30 | Total Steps:  4710 | Ep_Loss: 1.4660
Ep:  133 | Ep_r:  0.0 | Steps:  44 | Total Steps:  4755 | Ep_Loss: 2.0772
Ep:  134 | Ep_r:  0.0 | Steps:  83 | Total Steps:  4839 | Ep_Loss: 3.8445
Ep:  135 | Ep_r:  0.0 | Steps:  23 | Total Steps:  4863 | Ep_Loss: 1.1801
Ep:  136 | Ep_r:  0.0 | Steps:  126 | Total Steps:  4990 | Ep_Loss: 5.7994
Ep:  137 | Ep_r:  0.0 | Steps:  39 | Total Steps:  5030 | Ep_Loss: 1.9413
Ep:  138 | Ep_r:  0.0 | Steps:  43 | Total Steps:  5074 | Ep_Loss: 2.2671
Ep:  139 | Ep_r:  0.0 | Steps:  52 | Total Steps:  5127 | Ep_Loss: 2.3091
Ep:  140 | Ep_r:  0.0 | Steps:  101 | Total Steps:  5229 | Ep_Loss: 4.8882
Ep:  141 | Ep_r:  0.0 | Steps:  199 | Total Steps:  5429 | Ep_Loss: 9.7018
Ep:  142 | Ep_r:  0.0 | Steps:  23 | Total Steps:  5453 | Ep_Loss: 1.1444
Ep:  143 | Ep_r:  1.0 | Steps:  81 | Total Steps:  5535 | Ep_Loss: 3.9554
Ep:  144 | Ep_r:  1.0 | Steps:  47 | Total Steps:  5583 | Ep_Loss: 2.4840
Ep:  145 | Ep_r:  0.0 | Steps:  23 | Total Steps:  5607 | Ep_Loss: 1.2319
Ep:  146 | Ep_r:  0.0 | Steps:  22 | Total Steps:  5630 | Ep_Loss: 0.9945
Ep:  147 | Ep_r:  0.0 | Steps:  37 | Total Steps:  5668 | Ep_Loss: 1.9400
Ep:  148 | Ep_r:  0.0 | Steps:  34 | Total Steps:  5703 | Ep_Loss: 1.7109
Ep:  149 | Ep_r:  0.0 | Steps:  5 | Total Steps:  5709 | Ep_Loss: 0.2858
Ep:  150 | Ep_r:  0.0 | Steps:  22 | Total Steps:  5732 | Ep_Loss: 1.1295
Ep:  151 | Ep_r:  0.0 | Steps:  5 | Total Steps:  5738 | Ep_Loss: 0.2924
Ep:  152 | Ep_r:  0.0 | Steps:  30 | Total Steps:  5769 | Ep_Loss: 1.5747
Ep:  153 | Ep_r:  0.0 | Steps:  31 | Total Steps:  5801 | Ep_Loss: 1.5455
Ep:  154 | Ep_r:  0.0 | Steps:  23 | Total Steps:  5825 | Ep_Loss: 1.2704
Ep:  155 | Ep_r:  0.0 | Steps:  11 | Total Steps:  5837 | Ep_Loss: 0.5537
Ep:  156 | Ep_r:  0.0 | Steps:  12 | Total Steps:  5850 | Ep_Loss: 0.6182
Ep:  157 | Ep_r:  0.0 | Steps:  24 | Total Steps:  5875 | Ep_Loss: 1.2144
Ep:  158 | Ep_r:  0.0 | Steps:  5 | Total Steps:  5881 | Ep_Loss: 0.2938
Ep:  159 | Ep_r:  0.0 | Steps:  24 | Total Steps:  5906 | Ep_Loss: 1.2144
