humanRL_gym_ple/dqn_ple.py:131: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  torch.nn.init.xavier_uniform(m.weight)
Collecting experience...
humanRL_gym_ple/dqn_ple.py:159: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at  ../torch/csrc/utils/tensor_new.cpp:201.)
  wrap_tensor = lambda x: torch.tensor([x])
Ep:  127 | Ep_r:  0.0 | Steps:  27 | Total Steps:  5221 | Ep_Loss: 4.1474
Ep:  128 | Ep_r:  0.0 | Steps:  22 | Total Steps:  5244 | Ep_Loss: 3.7059
Ep:  129 | Ep_r:  0.0 | Steps:  5 | Total Steps:  5250 | Ep_Loss: 0.8511
Ep:  130 | Ep_r:  0.0 | Steps:  14 | Total Steps:  5265 | Ep_Loss: 2.5934
Ep:  131 | Ep_r:  0.0 | Steps:  5 | Total Steps:  5271 | Ep_Loss: 0.8384
Ep:  132 | Ep_r:  0.0 | Steps:  23 | Total Steps:  5295 | Ep_Loss: 3.4179
Ep:  133 | Ep_r:  0.0 | Steps:  5 | Total Steps:  5301 | Ep_Loss: 0.9082
Ep:  134 | Ep_r:  0.0 | Steps:  22 | Total Steps:  5324 | Ep_Loss: 3.4267
Ep:  135 | Ep_r:  1.0 | Steps:  40 | Total Steps:  5365 | Ep_Loss: 5.7854
Ep:  136 | Ep_r:  0.0 | Steps:  5 | Total Steps:  5371 | Ep_Loss: 0.7041
Ep:  137 | Ep_r:  0.0 | Steps:  5 | Total Steps:  5377 | Ep_Loss: 0.8247
Ep:  138 | Ep_r:  0.0 | Steps:  5 | Total Steps:  5383 | Ep_Loss: 0.9991
Ep:  139 | Ep_r:  0.0 | Steps:  5 | Total Steps:  5389 | Ep_Loss: 0.9128
Ep:  140 | Ep_r:  0.0 | Steps:  5 | Total Steps:  5395 | Ep_Loss: 0.8616
Ep:  141 | Ep_r:  0.0 | Steps:  22 | Total Steps:  5418 | Ep_Loss: 3.0525
Ep:  142 | Ep_r:  0.0 | Steps:  5 | Total Steps:  5424 | Ep_Loss: 0.9531
Ep:  143 | Ep_r:  0.0 | Steps:  22 | Total Steps:  5447 | Ep_Loss: 2.9523
Ep:  144 | Ep_r:  0.0 | Steps:  5 | Total Steps:  5453 | Ep_Loss: 0.7754
Ep:  145 | Ep_r:  0.0 | Steps:  5 | Total Steps:  5459 | Ep_Loss: 1.0083
Ep:  146 | Ep_r:  0.0 | Steps:  31 | Total Steps:  5491 | Ep_Loss: 4.6541
Ep:  147 | Ep_r:  0.0 | Steps:  26 | Total Steps:  5518 | Ep_Loss: 3.6746
Ep:  148 | Ep_r:  0.0 | Steps:  5 | Total Steps:  5524 | Ep_Loss: 0.7432
Ep:  149 | Ep_r:  0.0 | Steps:  5 | Total Steps:  5530 | Ep_Loss: 0.7450
Ep:  150 | Ep_r:  0.0 | Steps:  23 | Total Steps:  5554 | Ep_Loss: 3.4730
Ep:  151 | Ep_r:  0.0 | Steps:  5 | Total Steps:  5560 | Ep_Loss: 0.8957
Ep:  152 | Ep_r:  0.0 | Steps:  12 | Total Steps:  5573 | Ep_Loss: 2.0609
Ep:  153 | Ep_r:  0.0 | Steps:  5 | Total Steps:  5579 | Ep_Loss: 0.9456
Ep:  154 | Ep_r:  0.0 | Steps:  5 | Total Steps:  5585 | Ep_Loss: 0.8713
Ep:  155 | Ep_r:  0.0 | Steps:  5 | Total Steps:  5591 | Ep_Loss: 0.8060
Ep:  156 | Ep_r:  0.0 | Steps:  59 | Total Steps:  5651 | Ep_Loss: 8.3533
Ep:  157 | Ep_r:  0.0 | Steps:  44 | Total Steps:  5696 | Ep_Loss: 6.7385
Ep:  158 | Ep_r:  0.0 | Steps:  5 | Total Steps:  5702 | Ep_Loss: 0.7853
Ep:  159 | Ep_r:  0.0 | Steps:  5 | Total Steps:  5708 | Ep_Loss: 0.6804
Ep:  160 | Ep_r:  0.0 | Steps:  5 | Total Steps:  5714 | Ep_Loss: 0.7895
Ep:  161 | Ep_r:  0.0 | Steps:  5 | Total Steps:  5720 | Ep_Loss: 1.0950
Ep:  162 | Ep_r:  0.0 | Steps:  23 | Total Steps:  5744 | Ep_Loss: 3.2999
Ep:  163 | Ep_r:  0.0 | Steps:  22 | Total Steps:  5767 | Ep_Loss: 3.1988
Ep:  164 | Ep_r:  0.0 | Steps:  29 | Total Steps:  5797 | Ep_Loss: 4.0873
Ep:  165 | Ep_r:  0.0 | Steps:  5 | Total Steps:  5803 | Ep_Loss: 0.8269
Ep:  166 | Ep_r:  1.0 | Steps:  11 | Total Steps:  5815 | Ep_Loss: 1.6086
Ep:  167 | Ep_r:  0.0 | Steps:  23 | Total Steps:  5839 | Ep_Loss: 3.2404
Ep:  168 | Ep_r:  1.0 | Steps:  15 | Total Steps:  5855 | Ep_Loss: 2.6291
Ep:  169 | Ep_r:  0.0 | Steps:  22 | Total Steps:  5878 | Ep_Loss: 3.0925
